PlayerID,ID,position,Season,Week,NFLTeamID,Rushes,RushYards,PassComp,PassAtt,PassYards,Receptions,ReceptYds,PassTD,RecptTD,RushTD,Targets
17037,17037,QB,2026,1,NO,4,8,35,56,410,0,0,3,0,0,0
14371,14371,QB,2026,1,GB,1,0,21,42,387,0,0,2,0,0,0
16807,16807,QB,2026,1,CAR,2,10,23,37,361,0,0,3,0,1,0
12483,12483,QB,2026,1,BUF,6,23,20,29,334,0,0,2,0,2,0
12561,12561,QB,2026,1,BAL,7,40,17,25,324,0,0,1,0,1,0
10919,10919,QB,2026,1,ARI,6,14,27,37,277,0,0,1,0,0,0
16886,16886,QB,2026,1,HOU,2,15,26,38,274,0,0,2,0,0,0
17695,17695,QB,2026,1,CHI,10,65,21,29,269,0,0,2,0,2,0
14442,14442,QB,2026,1,CIN,5,20,25,35,254,0,0,1,0,0,0
15357,15357,QB,2026,1,JAX,2,3,18,23,245,0,0,4,0,0,0
18574,18574,QB,2026,1,NYG,11,54,23,29,230,0,0,3,0,0,0
4307,4307,QB,2026,1,PIT,3,-3,24,40,221,0,0,1,0,0,0
15872,15872,QB,2026,1,MIA,6,39,15,27,220,0,0,0,0,1,0
12619,12619,QB,2026,1,TB,5,30,23,28,216,0,0,0,0,1,0
8743,8743,QB,2026,1,NYJ,6,7,19,24,215,0,0,0,0,0,0
14446,14446,QB,2026,1,LAC,5,29,17,27,209,0,0,1,0,0,0
10729,10729,QB,2026,1,DET,2,2,26,39,206,0,0,2,0,0,0
11712,11712,QB,2026,1,CLE,6,38,16,22,205,0,0,1,0,0,0
15834,15834,QB,2026,1,SF,5,29,25,34,205,0,0,3,0,0,0
14416,14416,QB,2026,1,PHI,7,46,14,25,203,0,0,3,0,0,0
13736,13736,QB,2026,1,SEA,2,13,16,22,187,0,0,1,0,0,0
11839,11839,QB,2026,1,KC,7,23,15,27,184,0,0,2,0,1,0
17673,17673,QB,2026,1,NE,7,47,23,33,178,0,0,1,0,0,0
11008,11008,QB,2026,1,DAL,2,14,22,34,175,0,0,2,0,0,0
13491,13491,QB,2026,1,IND,1,4,19,31,166,0,0,1,0,0,0
17692,17692,QB,2026,1,WAS,5,31,18,34,164,0,0,2,0,0,0
8057,8057,QB,2026,1,LV,5,-6,21,30,160,0,0,3,0,0,0
5971,5971,QB,2026,1,LAR,2,-1,15,25,155,0,0,0,0,0,0
11841,11841,QB,2026,1,ATL,0,0,12,22,143,0,0,1,0,0,0
16997,16997,QB,2026,1,TEN,4,21,19,32,140,0,0,1,0,0,0
10856,10856,QB,2026,1,MIN,5,-1,12,19,133,0,0,3,0,0,0
16995,16995,QB,2026,1,DEN,3,2,17,28,131,0,0,1,0,0,0
13613,13613,QB,2026,1,MIN,2,9,3,5,18,0,0,0,0,0,0
12490,12490,QB,2026,1,SEA,0,0,1,2,13,0,0,0,0,0,0
16871,16871,QB,2026,1,LAR,1,9,2,3,13,0,0,0,0,0,0
