Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,EdgeBucket,FlatStakeUnits,KellyStakeUnits,KellyFractionUsed,CapturedAt,Status,Actual,PnlFlatUnits,PnlKellyUnits
2026,1,4307,Aaron Rodgers,PIT,QB,vs ATL,rushYds,draftkings,0.5,101,0.4975,0.9394,0.4419,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,8057,Kirk Cousins,LV,QB,vs MIA,rushYds,circasports,0.5,125,0.4444,0.8689,0.4245,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,10729,Jared Goff,DET,QB,vs NO,rushYds,circasports,0.5,145,0.4082,0.7696,0.3614,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,10215,Darren Waller,CAR,TE,vs CHI,recYds,draftkings,16.5,-113,0.5305,0.8513,0.3208,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,8743,Geno Smith,NYJ,QB,@ TEN,rushYds,betrivers,6.5,-110,0.5238,0.8311,0.3073,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13894,KaVontae Turpin,DAL,WR,@ NYG,rushYds,fanduel,3.5,-120,0.5455,0.8303,0.2849,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16807,Bryce Young,CAR,QB,vs CHI,rushYds,circasports,13.5,-110,0.5238,0.7885,0.2647,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15984,Jaylen Warren,PIT,RB,vs ATL,rushYds,fanduel,41.5,-114,0.5327,0.7963,0.2635,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17976,Jalen Coker,CAR,WR,vs CHI,recYds,betrivers,38.5,-115,0.5349,0.7897,0.2548,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,10215,Darren Waller,CAR,TE,vs CHI,receptions,draftkings,1.5,-184,0.6479,0.8894,0.2415,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16795,Kayshon Boutte,HOU,WR,vs BUF,recYds,caesars,25.5,-108,0.5192,0.7576,0.2384,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,rushYds,thescore,21.5,-105,0.5122,0.7473,0.2351,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16795,Kayshon Boutte,HOU,WR,vs BUF,receptions,betrivers,2.5,160,0.3846,0.6081,0.2235,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,11008,Dak Prescott,DAL,QB,@ NYG,rushYds,betr,7.5,-110,0.5238,0.7443,0.2205,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
