Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,budget,12483,Josh Allen,BUF,QB,vs DET,rushAtt,Hard Rock,7.5,under,-125,-105,0.5556,0.5203,0.0678,0,0.9258,0.3703,0.4055,15%+,4.6573,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,17690,Blake Corum,LAR,RB,vs NYG,rushYds,FanDuel,43.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.8162,0.2835,0.3162,15%+,3.5656,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,15876,James Cook,BUF,RB,vs DET,rushAtt,theScore,19.5,under,-155,155,0.6078,0.6078,0.0000,0,0.8266,0.2187,0.2187,15%+,2.7506,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,77.5,over,170,-250,0.3704,0.3415,0.0847,0,0.5744,0.2040,0.2329,15%+,2.5657,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,14506,Tee Higgins,CIN,WR,at HOU,anytimeTD,Caesars,0.5,over,167,,0.3745,0.3745,,1,0.4727,0.0982,0.0982,5-10%,1.2351,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,13424,DK Metcalf,PIT,WR,at NE,anytimeTD,DraftKings,0.5,over,260,,0.2778,0.2778,,1,0.3750,0.0972,0.0972,5-10%,1.2225,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,18811,Jacory Croskey-Merritt,WAS,RB,at DAL,anytimeTD,theScore,0.5,over,145,,0.4082,0.4082,,1,0.4984,0.0903,0.0903,5-10%,1.1357,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,18526,Raheim Sanders,CLE,RB,at TB,anytimeTD,BetMGM,0.5,over,825,,0.1081,0.1081,,1,0.1975,0.0894,0.0894,5-10%,1.1244,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,18516,Quinshon Judkins,CLE,RB,at TB,anytimeTD,DraftKings,0.5,over,150,,0.4000,0.4000,,1,0.4727,0.0727,0.0727,5-10%,0.9144,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,budget,16661,De'Von Achane,MIA,RB,at SF,anytimeTD,Caesars,0.5,over,126,,0.4425,0.4425,,1,0.5084,0.0659,0.0659,5-10%,0.8288,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
