Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,disciplined,12483,Josh Allen,BUF,QB,vs DET,rushAtt,DraftKings,6.5,under,113,-145,0.4695,0.4424,0.0613,0,0.6850,0.2155,0.2427,15%+,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,15876,James Cook,BUF,RB,vs DET,rushAtt,DraftKings,18.5,under,-123,-103,0.5516,0.5209,0.0590,0,0.7525,0.2009,0.2316,15%+,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,13424,DK Metcalf,PIT,WR,at NE,anytimeTD,DraftKings,0.5,over,260,,0.2778,0.2778,,1,0.3750,0.0972,0.0972,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,14506,Tee Higgins,CIN,WR,at HOU,anytimeTD,DraftKings,0.5,over,165,,0.3774,0.3774,,1,0.4727,0.0953,0.0953,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,18811,Jacory Croskey-Merritt,WAS,RB,at DAL,anytimeTD,DraftKings,0.5,over,140,,0.4167,0.4167,,1,0.4984,0.0818,0.0818,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,18516,Quinshon Judkins,CLE,RB,at TB,anytimeTD,DraftKings,0.5,over,150,,0.4000,0.4000,,1,0.4727,0.0727,0.0727,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,14416,Jalen Hurts,PHI,QB,at TEN,anytimeTD,DraftKings,0.5,over,145,,0.4082,0.4082,,1,0.4621,0.0539,0.0539,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,16661,De'Von Achane,MIA,RB,at SF,anytimeTD,DraftKings,0.5,over,120,,0.4545,0.4545,,1,0.5084,0.0538,0.0538,5-10%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,15946,Christian Watson,GB,WR,at NYJ,anytimeTD,DraftKings,0.5,over,145,,0.4082,0.4082,,1,0.4566,0.0485,0.0485,3-5%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,disciplined,18522,RJ Harvey,DEN,RB,vs JAX,anytimeTD,DraftKings,0.5,over,230,,0.3030,0.3030,,1,0.3430,0.0399,0.0399,3-5%,1,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
