Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushAtt,Hard Rock,7.5,under,-125,-105,0.5556,0.5203,0.0678,0,0.9258,0.3703,0.4055,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,FanDuel,43.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.8162,0.2835,0.3162,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,43.5,over,-115,-115,0.5349,0.5000,0.0698,0,0.8162,0.2813,0.3162,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,49.5,over,120,-165,0.4545,0.4220,0.0772,0,0.7301,0.2755,0.3081,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,48.5,over,110,-155,0.4762,0.4393,0.0840,0,0.7457,0.2695,0.3064,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,99.5,over,900,-3000,0.1000,0.0937,0.0677,0,0.3634,0.2634,0.2697,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,39.5,over,-150,105,0.6000,0.5516,0.0878,0,0.8628,0.2628,0.3113,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,88.5,over,600,-1500,0.1429,0.1322,0.0804,0,0.4028,0.2599,0.2705,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,93.5,over,700,-2200,0.1250,0.1156,0.0815,0,0.3847,0.2597,0.2691,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,38.5,over,-160,115,0.6154,0.5695,0.0805,0,0.8731,0.2577,0.3036,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,53.5,over,145,-200,0.4082,0.3797,0.0748,0,0.6631,0.2550,0.2834,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,83.5,over,500,-1100,0.1667,0.1538,0.0833,0,0.4210,0.2544,0.2672,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,78.5,over,425,-800,0.1905,0.1765,0.0794,0,0.4395,0.2490,0.2630,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,79.5,over,425,-850,0.1905,0.1755,0.0852,0,0.4358,0.2453,0.2602,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,73.5,over,350,-600,0.2222,0.2059,0.0794,0,0.4580,0.2358,0.2521,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushAtt,Caesars,6.5,under,121,-159,0.4525,0.4243,0.0664,0,0.6850,0.2325,0.2607,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,33.5,over,-220,155,0.6875,0.6368,0.0797,0,0.9164,0.2289,0.2796,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,theScore,19.5,under,-155,155,0.6078,0.6078,0.0000,0,0.8266,0.2187,0.2187,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushAtt,DraftKings,6.5,under,113,-145,0.4695,0.4424,0.0613,0,0.6850,0.2155,0.2427,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,58.5,over,180,-260,0.3571,0.3309,0.0794,0,0.5718,0.2147,0.2409,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,68.5,over,275,-450,0.2667,0.2458,0.0848,0,0.4767,0.2100,0.2309,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushAtt,theScore,6.5,under,110,-140,0.4762,0.4494,0.0595,0,0.6850,0.2088,0.2356,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,77.5,over,170,-250,0.3704,0.3415,0.0847,0,0.5744,0.2040,0.2329,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,67.5,over,110,-150,0.4762,0.4425,0.0762,0,0.6787,0.2025,0.2362,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,72.5,over,135,-195,0.4255,0.3916,0.0865,0,0.6277,0.2022,0.2361,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,79.5,over,185,-275,0.3509,0.3236,0.0842,0,0.5526,0.2018,0.2290,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,DraftKings,18.5,under,-123,-103,0.5516,0.5209,0.0590,0,0.7525,0.2009,0.2316,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,64.5,over,240,-375,0.2941,0.2714,0.0836,0,0.4917,0.1975,0.2202,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,82.5,over,210,-325,0.3226,0.2967,0.0873,0,0.5197,0.1971,0.2230,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,7.5,over,970,,0.0935,0.0935,,1,0.2894,0.1960,0.1960,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,64.5,over,-105,-130,0.5122,0.4754,0.0774,0,0.7078,0.1956,0.2324,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
