Season,GameWeek,Split,Team,PlayerID,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs
2026,3,M,BAL,12561,30.36,8.58,0.00,19.82,274.83,1.69,0.46,52.46,0.34,0.00,0.00,0.00
2026,3,M,BUF,12483,32.65,7.69,0.00,21.36,263.25,1.53,1.15,35.57,0.77,0.00,0.00,0.00
2026,3,M,SF,15834,29.92,4.37,0.00,19.87,248.95,2.21,0.66,20.54,0.25,0.00,0.00,0.00
2026,3,M,KC,11839,31.06,4.02,0.00,20.89,245.15,1.96,0.50,22.83,0.26,0.00,0.00,0.00
2026,3,M,DAL,11008,36.21,3.00,0.00,23.15,268.56,1.81,0.61,10.86,0.12,0.00,0.00,0.00
2026,3,M,JAX,15357,33.36,4.71,0.00,20.32,240.88,1.64,0.49,18.82,0.31,0.00,0.00,0.00
2026,3,M,DET,10729,33.15,1.93,0.00,21.20,249.95,2.10,0.10,5.03,0.05,0.00,0.00,0.00
2026,3,M,NE,17673,32.09,5.98,0.00,22.04,255.07,1.25,0.95,29.98,0.23,0.00,0.00,0.00
2026,3,M,PHI,14416,28.75,7.20,0.00,18.42,215.08,1.35,0.94,34.63,0.39,0.00,0.00,0.00
2026,3,M,NO,17037,33.38,5.19,0.00,21.91,240.17,1.55,0.52,17.91,0.24,0.00,0.00,0.00
2026,3,M,CIN,14442,33.90,3.28,0.00,22.73,246.11,1.84,0.98,10.18,0.08,0.00,0.00,0.00
2026,3,M,MIN,13613,30.41,5.94,0.00,19.72,211.50,1.34,0.40,29.03,0.24,0.00,0.00,0.00
2026,3,M,SEA,12490,30.62,2.40,0.00,19.38,237.56,1.66,0.55,9.56,0.08,0.00,0.00,0.00
2026,3,M,LAC,14446,33.03,4.13,0.00,21.02,232.11,1.25,0.58,21.00,0.19,0.00,0.00,0.00
2026,3,M,DEN,16995,33.38,4.58,0.00,21.49,226.21,1.40,0.87,20.49,0.19,0.00,0.00,0.00
2026,3,M,GB,14371,32.32,3.30,0.00,21.21,232.01,1.63,1.14,15.00,0.09,0.00,0.00,0.00
2026,3,M,DET,16808,0.00,20.00,5.10,0.00,0.00,0.00,0.00,98.52,0.74,4.30,30.24,0.28
2026,3,M,LAR,5971,32.82,1.88,0.00,20.36,241.24,1.62,0.57,4.03,0.05,0.00,0.00,0.00
2026,3,M,CAR,16807,31.39,4.54,0.00,18.61,197.82,1.41,0.65,22.49,0.23,0.00,0.00,0.00
2026,3,M,TB,12619,30.41,3.72,0.00,19.53,213.20,1.45,0.70,16.59,0.13,0.00,0.00,0.00
2026,3,M,NYJ,8743,32.05,3.17,0.00,21.60,224.99,1.36,0.63,13.50,0.11,0.00,0.00,0.00
2026,3,M,MIA,15872,28.26,5.32,0.00,18.37,212.73,0.91,0.41,24.54,0.29,0.00,0.00,0.00
2026,3,M,HOU,16886,30.81,3.03,0.00,19.74,233.61,1.15,0.45,11.53,0.15,0.00,0.00,0.00
2026,3,M,ARI,10919,33.90,3.04,0.00,21.23,223.45,1.31,0.28,11.35,0.09,0.00,0.00,0.00
2026,3,M,BAL,10819,0.00,16.59,1.78,0.00,0.00,0.00,0.00,98.28,0.94,1.49,14.85,0.08
2026,3,M,KC,15909,0.00,18.28,3.95,0.00,0.00,0.00,0.00,89.52,0.69,3.49,28.59,0.20
2026,3,M,IND,14455,0.00,21.76,3.49,0.00,0.00,0.00,0.00,86.85,0.93,2.85,19.97,0.11
2026,3,M,LV,8057,31.27,1.83,0.00,20.13,210.49,1.55,0.55,3.60,0.06,0.00,0.00,0.00
2026,3,M,PIT,4307,33.07,1.51,0.00,21.31,220.11,1.41,0.89,7.20,0.06,0.00,0.00,0.00
2026,3,M,SF,11690,0.00,16.55,5.09,0.00,0.00,0.00,0.00,79.79,0.58,4.34,31.45,0.31
2026,3,M,ATL,16739,0.00,18.47,5.10,0.00,0.00,0.00,0.00,85.95,0.46,4.15,32.57,0.24
2026,3,M,IND,13491,29.66,3.74,0.00,19.27,208.23,1.01,0.77,14.73,0.14,0.00,0.00,0.00
2026,3,M,CLE,11712,28.39,3.10,0.00,20.43,208.31,1.09,1.12,14.36,0.14,0.00,0.00,0.00
2026,3,M,ATL,17700,29.22,2.78,0.00,16.77,200.80,1.14,0.50,8.65,0.12,0.00,0.00,0.00
2026,3,M,WAS,10074,28.29,6.28,0.00,17.67,190.90,0.75,0.98,27.53,0.14,0.00,0.00,0.00
2026,3,M,SEA,16654,0.00,0.43,9.34,0.00,0.00,0.00,0.00,2.15,0.01,6.72,104.19,0.74
2026,3,M,NYG,10037,24.90,3.84,0.00,13.92,187.07,0.97,0.44,13.30,0.14,0.00,0.00,0.00
2026,3,M,BUF,15876,0.00,15.41,2.96,0.00,0.00,0.00,0.00,75.70,0.70,2.19,17.15,0.16
2026,3,M,TEN,16997,27.63,3.53,0.00,16.75,174.19,0.72,0.36,15.44,0.21,0.00,0.00,0.00
2026,3,M,PHI,12507,0.00,16.79,3.13,0.00,0.00,0.00,0.00,81.77,0.50,2.31,17.76,0.13
2026,3,M,NYG,18514,0.00,17.00,2.04,0.00,0.00,0.00,0.00,72.40,0.64,1.63,15.69,0.08
2026,3,M,PIT,15984,0.00,13.40,3.97,0.00,0.00,0.00,0.00,73.01,0.38,3.52,25.55,0.11
2026,3,M,DAL,15306,0.00,16.03,3.26,0.00,0.00,0.00,0.00,59.12,0.77,2.72,15.86,0.11
2026,3,M,DET,15332,0.00,0.29,9.45,0.00,0.00,0.00,0.00,1.61,0.01,6.56,82.43,0.72
2026,3,M,CAR,15242,0.00,17.11,3.01,0.00,0.00,0.00,0.00,70.51,0.49,2.57,15.54,0.18
2026,3,M,NYJ,15810,0.00,13.36,4.04,0.00,0.00,0.00,0.00,63.93,0.41,3.49,27.47,0.15
2026,3,M,HOU,13556,0.00,15.30,2.17,0.00,0.00,0.00,0.00,52.91,0.85,1.97,15.38,0.09
2026,3,M,MIA,16661,0.00,14.20,4.39,0.00,0.00,0.00,0.00,67.67,0.33,3.92,26.88,0.16
2026,3,M,CIN,16934,0.00,16.36,4.43,0.00,0.00,0.00,0.00,62.95,0.39,3.84,21.95,0.26
2026,3,M,CHI,8065,28.03,2.09,0.00,17.03,176.27,0.74,0.66,7.46,0.06,0.00,0.00,0.00
2026,3,M,NO,15895,0.00,0.05,8.84,0.00,0.00,0.00,0.00,0.19,0.00,5.72,79.69,0.69
2026,3,M,BAL,16919,0.00,0.20,6.87,0.00,0.00,0.00,0.00,1.28,0.01,5.16,85.37,0.54
2026,3,M,LV,18487,0.00,17.12,4.78,0.00,0.00,0.00,0.00,55.99,0.37,3.81,21.37,0.31
2026,3,M,LAC,18445,0.00,13.64,2.64,0.00,0.00,0.00,0.00,65.53,0.60,2.37,12.50,0.07
2026,3,M,CHI,14394,0.00,14.37,2.35,0.00,0.00,0.00,0.00,60.91,0.70,1.86,11.81,0.05
2026,3,M,GB,15946,0.00,0.24,7.24,0.00,0.00,0.00,0.00,1.36,0.01,3.93,69.46,0.75
2026,3,M,LAR,15807,0.00,14.23,2.89,0.00,0.00,0.00,0.00,62.90,0.58,2.13,12.61,0.09
2026,3,M,TB,17784,0.00,16.54,3.89,0.00,0.00,0.00,0.00,56.54,0.47,3.30,23.41,0.11
2026,3,M,DAL,14411,0.00,0.40,9.05,0.00,0.00,0.00,0.00,2.02,0.02,6.05,84.52,0.43
2026,3,M,TEN,13590,0.00,13.95,1.73,0.00,0.00,0.00,0.00,75.19,0.42,1.41,8.66,0.03
2026,3,M,CIN,15183,0.00,0.28,8.66,0.00,0.00,0.00,0.00,1.03,0.01,5.78,74.23,0.57
2026,3,M,MIN,14509,0.00,0.14,8.67,0.00,0.00,0.00,0.00,0.49,0.01,5.76,77.94,0.51
2026,3,M,MIN,11763,0.00,16.13,2.61,0.00,0.00,0.00,0.00,60.40,0.43,2.21,14.82,0.12
2026,3,M,ARI,19235,0.00,11.89,4.77,0.00,0.00,0.00,0.00,48.21,0.42,3.72,24.68,0.16
2026,3,M,CLE,18516,0.00,15.85,2.29,0.00,0.00,0.00,0.00,59.10,0.52,1.99,11.54,0.07
2026,3,M,NE,18517,0.00,11.67,2.58,0.00,0.00,0.00,0.00,54.54,0.53,2.07,13.19,0.07
2026,3,M,JAX,16690,0.00,0.48,7.81,0.00,0.00,0.00,0.00,1.35,0.01,5.03,74.57,0.44
2026,3,M,PHI,15406,0.00,0.05,7.99,0.00,0.00,0.00,0.00,0.22,0.00,5.47,77.20,0.42
2026,3,M,DAL,15853,0.00,0.05,7.66,0.00,0.00,0.00,0.00,0.21,0.00,5.05,77.90,0.34
2026,3,M,NYJ,15829,0.00,0.39,8.74,0.00,0.00,0.00,0.00,1.50,0.01,5.31,65.35,0.51
2026,3,M,JAX,18524,0.00,12.84,2.20,0.00,0.00,0.00,0.00,50.07,0.44,1.65,12.16,0.13
2026,3,M,ARI,15902,0.00,0.12,8.98,0.00,0.00,0.00,0.00,0.50,0.01,7.11,66.38,0.48
2026,3,M,DEN,14418,0.00,13.00,1.94,0.00,0.00,0.00,0.00,64.88,0.29,1.68,8.67,0.07
2026,3,M,CAR,18547,0.00,0.08,8.64,0.00,0.00,0.00,0.00,0.36,0.00,4.55,71.03,0.38
2026,3,M,CIN,14506,0.00,0.06,6.80,0.00,0.00,0.00,0.00,0.26,0.00,4.09,64.42,0.49
2026,3,M,CAR,17976,0.00,0.08,7.03,0.00,0.00,0.00,0.00,0.36,0.00,5.07,62.95,0.51
2026,3,M,LAR,9455,0.00,0.00,10.17,0.00,0.00,0.00,0.00,0.00,0.00,4.95,64.11,0.48
2026,3,M,NO,15385,0.00,13.26,2.67,0.00,0.00,0.00,0.00,49.33,0.22,2.17,14.87,0.23
2026,3,M,WAS,18811,0.00,13.03,1.58,0.00,0.00,0.00,0.00,47.81,0.54,1.24,8.11,0.04
2026,3,M,LAC,17724,0.00,0.10,8.15,0.00,0.00,0.00,0.00,0.48,0.00,4.96,66.81,0.39
2026,3,M,SEA,19299,0.00,11.67,1.38,0.00,0.00,0.00,0.00,57.39,0.30,1.08,9.53,0.07
2026,3,M,DET,15849,0.00,0.61,6.18,0.00,0.00,0.00,0.00,3.32,0.02,3.67,61.45,0.37
2026,3,M,ATL,15868,0.00,0.06,7.90,0.00,0.00,0.00,0.00,0.22,0.00,4.67,61.99,0.43
2026,3,M,SF,9253,0.00,0.00,6.34,0.00,0.00,0.00,0.00,0.00,0.00,3.79,55.40,0.54
2026,3,M,DEN,15404,0.00,0.22,7.19,0.00,0.00,0.00,0.00,1.20,0.01,4.61,63.78,0.33
2026,3,M,GB,17795,0.00,10.89,2.26,0.00,0.00,0.00,0.00,46.18,0.33,1.70,12.05,0.12
2026,3,M,BUF,12477,0.00,0.42,6.20,0.00,0.00,0.00,0.00,2.19,0.02,3.47,54.03,0.46
2026,3,M,BUF,16697,0.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,4.83,63.82,0.33
2026,3,M,NE,15372,0.00,7.69,2.95,0.00,0.00,0.00,0.00,37.12,0.29,2.57,19.35,0.12
2026,3,M,KC,16963,0.00,0.51,5.59,0.00,0.00,0.00,0.00,2.16,0.03,4.16,49.64,0.43
2026,3,M,SF,11892,0.00,0.00,5.25,0.00,0.00,0.00,0.00,0.00,0.00,4.28,51.01,0.47
2026,3,M,ARI,16957,0.00,0.05,6.75,0.00,0.00,0.00,0.00,0.21,0.00,3.93,56.23,0.37
2026,3,M,LV,17693,0.00,0.24,6.90,0.00,0.00,0.00,0.00,0.77,0.01,5.53,50.51,0.44
2026,3,M,NYG,17704,0.00,0.19,7.17,0.00,0.00,0.00,0.00,0.68,0.01,4.17,59.88,0.28
2026,3,M,PIT,13424,0.00,0.19,6.78,0.00,0.00,0.00,0.00,0.99,0.01,3.55,55.57,0.33
2026,3,M,DEN,18522,0.00,7.68,3.44,0.00,0.00,0.00,0.00,30.24,0.25,2.89,21.43,0.17
2026,3,M,LAR,17690,0.00,11.02,1.00,0.00,0.00,0.00,0.00,49.95,0.35,0.69,3.85,0.03
2026,3,M,GB,16649,0.00,0.00,5.45,0.00,0.00,0.00,0.00,0.00,0.00,3.81,48.84,0.46
2026,3,M,SF,13429,0.00,1.04,5.39,0.00,0.00,0.00,0.00,5.85,0.06,3.76,47.93,0.31
2026,3,M,DET,17033,0.00,0.06,5.83,0.00,0.00,0.00,0.00,0.29,0.00,4.46,49.28,0.40
2026,3,M,BAL,12559,0.00,0.22,5.53,0.00,0.00,0.00,0.00,1.08,0.01,4.47,50.48,0.35
2026,3,M,KC,17687,0.00,1.19,5.44,0.00,0.00,0.00,0.00,6.70,0.07,3.18,41.55,0.33
2026,3,M,GB,18500,0.00,0.22,7.17,0.00,0.00,0.00,0.00,0.99,0.01,3.99,52.46,0.30
2026,3,M,BAL,15210,0.00,0.06,5.55,0.00,0.00,0.00,0.00,0.30,0.00,3.32,50.46,0.34
2026,3,M,KC,8783,0.00,0.00,5.75,0.00,0.00,0.00,0.00,0.00,0.00,4.54,50.35,0.34
2026,3,M,TEN,16941,0.00,7.37,2.23,0.00,0.00,0.00,0.00,35.26,0.30,2.00,12.32,0.04
2026,3,M,IND,16689,0.00,0.11,6.94,0.00,0.00,0.00,0.00,0.32,0.00,4.36,51.41,0.27
2026,3,M,HOU,12514,0.00,0.00,6.62,0.00,0.00,0.00,0.00,0.00,0.00,5.03,53.01,0.24
2026,3,M,DEN,12586,0.00,0.00,5.92,0.00,0.00,0.00,0.00,0.00,0.00,3.38,48.05,0.32
2026,3,M,CHI,18520,0.00,10.31,1.38,0.00,0.00,0.00,0.00,45.27,0.20,0.96,7.30,0.04
2026,3,M,CLE,19298,0.00,0.14,5.11,0.00,0.00,0.00,0.00,0.67,0.01,3.20,44.59,0.35
2026,3,M,WAS,13536,0.00,0.05,6.36,0.00,0.00,0.00,0.00,0.20,0.00,3.65,52.67,0.22
2026,3,M,TB,18549,0.00,0.27,6.60,0.00,0.00,0.00,0.00,1.00,0.01,3.23,46.58,0.27
2026,3,M,HOU,18449,0.00,9.57,2.11,0.00,0.00,0.00,0.00,33.56,0.18,1.60,13.14,0.09
2026,3,M,NYJ,17668,0.00,0.05,6.76,0.00,0.00,0.00,0.00,0.19,0.00,3.30,48.08,0.24
2026,3,M,MIN,16895,0.00,0.30,5.20,0.00,0.00,0.00,0.00,2.59,0.02,2.91,42.06,0.28
2026,3,M,NO,14630,0.00,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00,4.06,46.33,0.27
2026,3,M,NO,17975,0.00,0.06,5.50,0.00,0.00,0.00,0.00,0.23,0.00,3.83,42.65,0.32
2026,3,M,LAC,16899,0.00,0.17,5.65,0.00,0.00,0.00,0.00,0.79,0.01,2.85,43.73,0.28
2026,3,M,NE,10735,0.00,0.00,5.58,0.00,0.00,0.00,0.00,0.00,0.00,4.26,44.03,0.29
2026,3,M,MIA,17863,0.00,0.98,5.93,0.00,0.00,0.00,0.00,4.80,0.05,3.87,40.09,0.22
2026,3,M,NE,16027,0.00,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,3.31,47.82,0.22
2026,3,M,BUF,15892,0.00,0.10,6.22,0.00,0.00,0.00,0.00,0.43,0.00,4.45,50.77,0.16
2026,3,M,PHI,16658,0.00,0.03,5.03,0.00,0.00,0.00,0.00,0.16,0.00,3.19,43.14,0.29
2026,3,M,NO,11732,0.00,7.90,2.34,0.00,0.00,0.00,0.00,28.15,0.27,2.06,11.38,0.08
2026,3,M,JAX,17716,0.00,0.20,5.53,0.00,0.00,0.00,0.00,1.08,0.01,3.17,44.71,0.22
2026,3,M,ATL,15265,0.00,0.00,4.97,0.00,0.00,0.00,0.00,0.00,0.00,3.54,40.30,0.32
2026,3,M,HOU,16795,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.00,0.00,2.88,45.68,0.23
2026,3,M,WAS,10133,0.00,0.00,5.52,0.00,0.00,0.00,0.00,0.00,0.00,3.71,43.97,0.25
2026,3,M,IND,18534,0.00,0.34,6.53,0.00,0.00,0.00,0.00,1.14,0.01,4.39,39.26,0.30
2026,3,M,SEA,16560,0.00,0.70,4.28,0.00,0.00,0.00,0.00,4.62,0.02,2.56,39.16,0.23
2026,3,M,TB,11718,0.00,0.32,5.11,0.00,0.00,0.00,0.00,1.47,0.01,3.60,40.90,0.26
2026,3,M,SEA,17593,0.00,7.89,0.92,0.00,0.00,0.00,0.00,37.44,0.19,0.81,6.35,0.05
2026,3,M,CHI,18548,0.00,0.63,4.91,0.00,0.00,0.00,0.00,2.85,0.01,3.42,46.33,0.14
2026,3,M,CLE,19242,0.00,0.75,5.11,0.00,0.00,0.00,0.00,3.41,0.04,3.59,37.68,0.24
2026,3,M,ARI,15976,0.00,9.00,1.49,0.00,0.00,0.00,0.00,34.27,0.19,1.37,8.87,0.05
2026,3,M,TB,15222,0.00,7.17,2.34,0.00,0.00,0.00,0.00,27.56,0.22,1.87,12.96,0.06
2026,3,M,PIT,14378,0.00,0.07,5.48,0.00,0.00,0.00,0.00,0.44,0.00,3.69,44.00,0.21
2026,3,M,LV,16694,0.00,0.48,5.26,0.00,0.00,0.00,0.00,2.03,0.01,2.95,39.67,0.24
2026,3,M,LAC,18481,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,3.34,42.13,0.24
2026,3,M,CLE,18472,0.00,0.22,5.11,0.00,0.00,0.00,0.00,0.83,0.02,3.68,35.98,0.30
2026,3,M,CHI,18460,0.00,0.05,4.70,0.00,0.00,0.00,0.00,0.19,0.00,3.18,37.30,0.30
