Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,RwProj,CapturedAt
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,betr,0.5,241,0.2933,0.1975,-0.0958,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,draftkings,0.5,400,0.2000,0.1975,-0.0025,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,fanduel,0.5,350,0.2222,0.1975,-0.0247,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,mgm,0.5,300,0.2500,0.1975,-0.0525,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,betrivers,0.5,335,0.2299,0.1975,-0.0324,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,caesars,0.5,330,0.2326,0.1975,-0.0351,0.2,2026-09-11T18:12:40.026Z
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,anytimeTD,thescore,0.5,350,0.2222,0.1975,-0.0247,0.2,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,betr,0.5,-152,0.6032,0.5323,-0.0708,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,draftkings,0.5,-130,0.5652,0.5323,-0.0329,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,fanduel,0.5,-130,0.5652,0.5323,-0.0329,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,mgm,0.5,-155,0.6078,0.5323,-0.0755,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,betrivers,0.5,-134,0.5726,0.5323,-0.0403,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,caesars,0.5,-136,0.5763,0.5323,-0.0439,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,thescore,0.5,-125,0.5556,0.5323,-0.0232,0.8,2026-09-11T18:12:40.026Z
2026,1,16934,Chase Brown,CIN,RB,vs TB,anytimeTD,circasports,0.5,-130,0.5652,0.5323,-0.0329,0.8,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,betr,0.5,337,0.2288,0.2055,-0.0234,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,draftkings,0.5,340,0.2273,0.2055,-0.0218,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,fanduel,0.5,330,0.2326,0.2055,-0.0271,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,mgm,0.5,195,0.3390,0.2055,-0.1335,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,betrivers,0.5,380,0.2083,0.2055,-0.0029,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,caesars,0.5,320,0.2381,0.2055,-0.0326,0.2,2026-09-11T18:12:40.026Z
2026,1,11698,Samaje Perine,CIN,RB,vs TB,anytimeTD,thescore,0.5,325,0.2353,0.2055,-0.0298,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,betr,0.5,257,0.2801,0.1647,-0.1154,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,draftkings,0.5,320,0.2381,0.1647,-0.0734,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,fanduel,0.5,300,0.2500,0.1647,-0.0853,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,mgm,0.5,333,0.2309,0.1647,-0.0662,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,betrivers,0.5,310,0.2439,0.1647,-0.0792,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,caesars,0.5,305,0.2469,0.1647,-0.0822,0.2,2026-09-11T18:12:40.026Z
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,anytimeTD,thescore,0.5,325,0.2353,0.1647,-0.0706,0.2,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,betr,0.5,567,0.1499,0.0676,-0.0823,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,draftkings,0.5,750,0.1176,0.0676,-0.0500,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,fanduel,0.5,700,0.1250,0.0676,-0.0574,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,mgm,0.5,950,0.0952,0.0676,-0.0276,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,betrivers,0.5,1100,0.0833,0.0676,-0.0157,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,caesars,0.5,700,0.1250,0.0676,-0.0574,0.1,2026-09-11T18:12:40.026Z
2026,1,13809,Drew Sample,CIN,TE,vs TB,anytimeTD,thescore,0.5,750,0.1176,0.0676,-0.0500,0.1,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,betr,0.5,-130,0.5652,0.5416,-0.0236,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,draftkings,0.5,-120,0.5455,0.5416,-0.0039,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,fanduel,0.5,-125,0.5556,0.5416,-0.0140,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,mgm,0.5,-115,0.5349,0.5416,0.0067,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,betrivers,0.5,-122,0.5495,0.5416,-0.0080,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,caesars,0.5,-124,0.5536,0.5416,-0.0120,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,thescore,0.5,-125,0.5556,0.5416,-0.0140,0.8,2026-09-11T18:12:40.026Z
2026,1,15183,Ja'Marr Chase,CIN,WR,vs TB,anytimeTD,circasports,0.5,-120,0.5455,0.5416,-0.0039,0.8,2026-09-11T18:12:40.026Z
2026,1,14442,Joe Burrow,CIN,QB,vs TB,anytimeTD,betr,0.5,743,0.1186,0.0952,-0.0235,0.1,2026-09-11T18:12:40.026Z
2026,1,14442,Joe Burrow,CIN,QB,vs TB,anytimeTD,draftkings,0.5,800,0.1111,0.0952,-0.0159,0.1,2026-09-11T18:12:40.026Z
2026,1,14442,Joe Burrow,CIN,QB,vs TB,anytimeTD,fanduel,0.5,700,0.1250,0.0952,-0.0298,0.1,2026-09-11T18:12:40.026Z
2026,1,14442,Joe Burrow,CIN,QB,vs TB,anytimeTD,mgm,0.5,675,0.1290,0.0952,-0.0339,0.1,2026-09-11T18:12:40.026Z
2026,1,14442,Joe Burrow,CIN,QB,vs TB,anytimeTD,betrivers,0.5,700,0.1250,0.0952,-0.0298,0.1,2026-09-11T18:12:40.026Z
