Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,BetRivers,49.5,over,45.05,380,,0.2083,0.2083,,1,0.4432,0.2349,0.2349,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,DraftKings,49.5,over,45.05,347,,0.2237,0.2237,,1,0.4432,0.2195,0.2195,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,rushYds,BetRivers,29.5,over,28.67,310,,0.2439,0.2439,,1,0.4589,0.2150,0.2150,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,recYds,DraftKings,14.5,over,12.1,360,,0.2174,0.2174,,1,0.4323,0.2150,0.2150,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,FanDuel,49.5,over,52.86,204,,0.3289,0.3289,,1,0.5419,0.2129,0.2129,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,rushYds,DraftKings,19.5,over,28.67,124,,0.4464,0.4464,,1,0.6573,0.2108,0.2108,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,theScore,49.5,over,52.86,200,,0.3333,0.3333,,1,0.5419,0.2086,0.2086,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,Hard Rock,49.5,over,52.86,195,-275,0.3390,0.3161,0.0723,0,0.5419,0.2029,0.2258,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushAtt,Hard Rock,5.5,over,8.65,-130,100,0.5652,0.5306,0.0652,0,0.7658,0.2006,0.2352,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,rushYds,DraftKings,29.5,over,28.67,285,,0.2597,0.2597,,1,0.4589,0.1991,0.1991,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,rushYds,BetRivers,19.5,over,28.67,117,,0.4608,0.4608,,1,0.6573,0.1964,0.1964,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushAtt,DraftKings,9.5,over,8.65,556,,0.1524,0.1524,,1,0.3473,0.1948,0.1948,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,Hard Rock,49.5,over,45.05,300,-500,0.2500,0.2308,0.0833,0,0.4432,0.1932,0.2125,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,completions,theScore,22.5,over,21.3,325,,0.2353,0.2353,,1,0.4275,0.1922,0.1922,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,BetRivers,49.5,over,52.86,185,,0.3509,0.3509,,1,0.5419,0.1910,0.1910,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,15947,Jake Ferguson,DAL,TE,vs BAL,recYds,DraftKings,24.5,over,34.7,-130,,0.5652,0.5652,,1,0.7558,0.1906,0.1906,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,DraftKings,29.5,over,45.05,-101,,0.5025,0.5025,,1,0.6930,0.1905,0.1905,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
